Data,Nome_Feriado
2024-01-01,Ano Novo
2024-02-13,Carnaval
2024-03-29,Sexta-feira Santa
2024-03-31,Domingo de Páscoa
2024-04-25,Dia da Liberdade
2024-05-01,Dia do Trabalhador
2024-05-30,Corpo de Deus
2024-06-01,Dia dos Açores
2024-06-10,"Dia de Portugal, de Camões e das Comunidades Portuguesas"
2024-07-01,Dia da Madeira
2024-08-15,Assunção de Nossa Senhora
2024-10-05,Implantação da República
2024-11-01,Dia de Todos-os-Santos
2024-12-01,Restauração da Independência
2024-12-08,Imaculada Conceição
2024-12-25,Natal
2024-12-26,Primeira Oitava
2025-01-01,Ano Novo
2025-03-04,Carnaval
2025-04-18,Sexta-feira Santa
2025-04-20,Domingo de Páscoa
2025-04-25,Dia da Liberdade
2025-05-01,Dia do Trabalhador
2025-06-01,Dia dos Açores
2025-06-10,"Dia de Portugal, de Camões e das Comunidades Portuguesas"
2025-06-19,Corpo de Deus
2025-07-01,Dia da Madeira
2025-08-15,Assunção de Nossa Senhora
2025-10-05,Implantação da República
2025-11-01,Dia de Todos-os-Santos
2025-12-01,Restauração da Independência
2025-12-08,Imaculada Conceição
2025-12-25,Natal
2025-12-26,Primeira Oitava
2026-01-01,Ano Novo
2026-02-17,Carnaval
2026-04-03,Sexta-feira Santa
2026-04-05,Domingo de Páscoa
2026-04-25,Dia da Liberdade
2026-05-01,Dia do Trabalhador
2026-06-01,Dia dos Açores
2026-06-04,Corpo de Deus
2026-06-10,"Dia de Portugal, de Camões e das Comunidades Portuguesas"
2026-07-01,Dia da Madeira
2026-08-15,Assunção de Nossa Senhora
2026-10-05,Implantação da República
2026-11-01,Dia de Todos-os-Santos
2026-12-01,Restauração da Independência
2026-12-08,Imaculada Conceição
2026-12-25,Natal
2026-12-26,Primeira Oitava
